fecha,cod_ine,CCAA,recovered
3/12/2020,9,Cataluña,12
3/13/2020,9,Cataluña,19
3/14/2020,9,Cataluña,32
3/15/2020,9,Cataluña,39
3/16/2020,9,Cataluña,45
3/17/2020,9,Cataluña,58
3/18/2020,9,Cataluña,79
3/19/2020,9,Cataluña,103
3/20/2020,9,Cataluña,147
3/21/2020,9,Cataluña,192
3/22/2020,9,Cataluña,247
3/23/2020,9,Cataluña,402
3/24/2020,9,Cataluña,631
3/25/2020,9,Cataluña,961
3/26/2020,9,Cataluña,1008
3/27/2020,9,Cataluña,1482
3/28/2020,9,Cataluña,1717
3/29/2020,9,Cataluña,1966
3/30/2020,9,Cataluña,2168
3/31/2020,9,Cataluña,2633
4/1/2020,9,Cataluña,3077
4/2/2020,9,Cataluña,3683
4/3/2020,9,Cataluña,3876
4/4/2020,9,Cataluña,4589
4/5/2020,9,Cataluña,5149
4/6/2020,9,Cataluña,5374
4/7/2020,9,Cataluña,6150
4/8/2020,9,Cataluña,7320
4/9/2020,9,Cataluña,8014
4/10/2020,9,Cataluña,8705
4/11/2020,9,Cataluña,9267
4/12/2020,9,Cataluña,9610
4/13/2020,9,Cataluña,10040
4/14/2020,9,Cataluña,10387
4/15/2020,9,Cataluña,11480
4/16/2020,9,Cataluña,11961
4/17/2020,9,Cataluña,12787
4/18/2020,9,Cataluña,13275
4/19/2020,9,Cataluña,13691
4/20/2020,9,Cataluña,13934
4/21/2020,9,Cataluña,14446
4/22/2020,9,Cataluña,15089
4/23/2020,9,Cataluña,15477
4/24/2020,9,Cataluña,16138
4/25/2020,9,Cataluña,16753
4/26/2020,9,Cataluña,17006
4/27/2020,9,Cataluña,17897
4/28/2020,9,Cataluña,18319
4/29/2020,9,Cataluña,19060
4/30/2020,9,Cataluña,19615
5/1/2020,9,Cataluña,19640
5/2/2020,9,Cataluña,19913
5/3/2020,9,Cataluña,20332
5/4/2020,9,Cataluña,21898
5/5/2020,9,Cataluña,22553
5/6/2020,9,Cataluña,22881
5/7/2020,9,Cataluña,23231
5/8/2020,9,Cataluña,23664
5/9/2020,9,Cataluña,24063
5/10/2020,9,Cataluña,24349
5/11/2020,9,Cataluña,24454
5/12/2020,9,Cataluña,24966
5/13/2020,9,Cataluña,25326
5/14/2020,9,Cataluña,25849
5/15/2020,9,Cataluña,25904
5/16/2020,9,Cataluña,26067
5/17/2020,9,Cataluña,26172
2/21/2020,18,Ceuta,
2/22/2020,18,Ceuta,
2/23/2020,18,Ceuta,
2/24/2020,18,Ceuta,
2/25/2020,18,Ceuta,
2/26/2020,18,Ceuta,
2/27/2020,18,Ceuta,
2/28/2020,18,Ceuta,
2/29/2020,18,Ceuta,
3/1/2020,18,Ceuta,
3/2/2020,18,Ceuta,
3/3/2020,18,Ceuta,
3/4/2020,18,Ceuta,
3/5/2020,18,Ceuta,
3/6/2020,18,Ceuta,
3/7/2020,18,Ceuta,
3/8/2020,18,Ceuta,
3/9/2020,18,Ceuta,
3/10/2020,18,Ceuta,
3/11/2020,18,Ceuta,0
3/12/2020,18,Ceuta,0
